user_location,date,text,sentiment,hour,minute,Date,refined text,lowercase text,non-punctuated text,non-extraspace text,tokenized text,non-stopwords text,stemmed text
"Cambridge, Ontario, Canada",2020-12-24 17:29:00,Watching this smooth-operating machine at @grhospitalkw administering #PfizerBioNTech #COVID19 vaccine to local pri… https://t.co/NxhjjhJmFw,NEU,17,29,2020-12-24,Watching this smooth-operating machine at  administering   vaccine to local pri… ,watching this smooth-operating machine at  administering   vaccine to local pri… ,watching this smooth operating machine at  administering   vaccine to local pri  ,watching this smooth operating machine at administering vaccine to local pri,"['watching', 'this', 'smooth', 'operating', 'machine', 'at', 'administering', 'vaccine', 'to', 'local', 'pri']","['watching', 'smooth', 'operating', 'machine', 'administering', 'vaccine', 'local', 'pri']","['watch', 'smooth', 'oper', 'machin', 'administ', 'vaccin', 'local', 'pri']"
"UAE, Sharjah",2020-12-24 17:09:00,"#COVID19: First batch of Pfizer vaccine for COVID-19 arrives in Oman 
https://t.co/XnuJXmkbIV 
#Oman #PfizerBioNTech https://t.co/njQICccZLP",NEU,17,9,2020-12-24," First batch of Pfizer vaccine for COVID-19 arrives in Oman 
 
  "," first batch of pfizer vaccine for covid-19 arrives in oman 
 
  ", first batch of pfizer vaccine for covid    arrives in oman      ,first batch of pfizer vaccine for covid arrives in oman,"['first', 'batch', 'of', 'pfizer', 'vaccine', 'for', 'covid', 'arrives', 'in', 'oman']","['first', 'batch', 'pfizer', 'vaccine', 'covid', 'arrives', 'oman']","['first', 'batch', 'pfizer', 'vaccin', 'covid', 'arriv', 'oman']"
Baltimore,2020-12-24 17:09:00,There are many reasons why Stella Maris employees are getting the vaccine! #healthcareheroes #covid19vaccine… https://t.co/c139d5kB8M,POS,17,9,2020-12-24,There are many reasons why Stella Maris employees are getting the vaccine!   ,there are many reasons why stella maris employees are getting the vaccine!   ,there are many reasons why stella maris employees are getting the vaccine    ,there are many reasons why stella maris employees are getting the vaccine,"['there', 'are', 'many', 'reasons', 'why', 'stella', 'maris', 'employees', 'are', 'getting', 'the', 'vaccine']","['many', 'reasons', 'stella', 'maris', 'employees', 'getting', 'vaccine']","['mani', 'reason', 'stella', 'mari', 'employe', 'get', 'vaccin']"
No Location,2020-12-24 17:07:00,So grateful to get today my first shot of the #PfizerBioNTech #COVID19Vaccine @ #UFMedicine #ThanksLord https://t.co/BOOyWm5ipM,POS,17,7,2020-12-24,So grateful to get today my first shot of the   @   ,so grateful to get today my first shot of the   @   ,so grateful to get today my first shot of the       ,so grateful to get today my first shot of the,"['so', 'grateful', 'to', 'get', 'today', 'my', 'first', 'shot', 'of', 'the']","['grateful', 'get', 'today', 'first', 'shot']","['grate', 'get', 'today', 'first', 'shot']"
"Islamabad, Pakistan",2020-12-24 17:03:00,"As expected...
COVID-19 vaccine is causing reactions at a rate that is 'superior' https://t.co/Yyy1lo1Gv5 via… https://t.co/lWUHjgTYkt",NEU,17,3,2020-12-24,"As expected...
COVID-19 vaccine is causing reactions at a rate that is 'superior'  via… ","as expected...
covid-19 vaccine is causing reactions at a rate that is 'superior'  via… ",as expected    covid    vaccine is causing reactions at a rate that is  superior   via  ,as expected covid vaccine is causing reactions at a rate that is superior via,"['as', 'expected', 'covid', 'vaccine', 'is', 'causing', 'reactions', 'at', 'a', 'rate', 'that', 'is', 'superior', 'via']","['expected', 'covid', 'vaccine', 'causing', 'reactions', 'rate', 'superior', 'via']","['expect', 'covid', 'vaccin', 'caus', 'reaction', 'rate', 'superior', 'via']"
United Arab Emirates,2020-12-24 17:01:00,#COVID19: How you can book an appointment for the #PfizerBioNTech #vaccine in #Dubai. Vaccine is available at six h… https://t.co/mDYl2YHIQ2,NEU,17,1,2020-12-24, How you can book an appointment for the   in  Vaccine is available at six h… , how you can book an appointment for the   in  vaccine is available at six h… , how you can book an appointment for the   in  vaccine is available at six h  ,how you can book an appointment for the in vaccine is available at six h,"['how', 'you', 'can', 'book', 'an', 'appointment', 'for', 'the', 'in', 'vaccine', 'is', 'available', 'at', 'six', 'h']","['book', 'appointment', 'vaccine', 'available', 'six', 'h']","['book', 'appoint', 'vaccin', 'avail', 'six', 'h']"
"Indianapolis, IN",2020-12-24 16:57:00,First dose yesterday!  #PfizerBioNTech #Pfizervaccine https://t.co/Nxgfo4NbYa,NEU,16,57,2020-12-24,First dose yesterday!    ,first dose yesterday!    ,first dose yesterday     ,first dose yesterday,"['first', 'dose', 'yesterday']","['first', 'dose', 'yesterday']","['first', 'dose', 'yesterday']"
New York,2020-12-24 16:52:00,"#Zürich's Tages Anzeiger puts this #CoronaVirusPandemic-themed #cartoon on its front page, with the #WiseMen bringi… https://t.co/4nOK84otLO",NEU,16,52,2020-12-24," Tages Anzeiger puts this   on its front page, with the  bringi… "," tages anzeiger puts this   on its front page, with the  bringi… ", tages anzeiger puts this   on its front page  with the  bringi  ,tages anzeiger puts this on its front page with the bringi,"['tages', 'anzeiger', 'puts', 'this', 'on', 'its', 'front', 'page', 'with', 'the', 'bringi']","['tages', 'anzeiger', 'puts', 'front', 'page', 'bringi']","['tage', 'anzeig', 'put', 'front', 'page', 'bringi']"
National Capital & NB,2020-12-24 16:25:00,"New data favour administering #COVID_19 vaccines as fast as possible, not reserving doses https://t.co/fhaNplJHr8 v… https://t.co/dD650rMXUk",NEU,16,25,2020-12-24,"New data favour administering  vaccines as fast as possible, not reserving doses  v… ","new data favour administering  vaccines as fast as possible, not reserving doses  v… ",new data favour administering  vaccines as fast as possible  not reserving doses  v  ,new data favour administering vaccines as fast as possible not reserving doses v,"['new', 'data', 'favour', 'administering', 'vaccines', 'as', 'fast', 'as', 'possible', 'not', 'reserving', 'doses', 'v']","['new', 'data', 'favour', 'administering', 'vaccines', 'fast', 'possible', 'reserving', 'doses', 'v']","['new', 'data', 'favour', 'administ', 'vaccin', 'fast', 'possibl', 'reserv', 'dose', 'v']"
"Idaho, USA",2020-12-24 16:10:00,Working the COVID vaccine clinic all day today. Lots of happy people getting vaccinated! #PfizerBioNTech #COVID19… https://t.co/ZE9W9kfMEl,POS,16,10,2020-12-24,Working the COVID vaccine clinic all day today. Lots of happy people getting vaccinated!   ,working the covid vaccine clinic all day today. lots of happy people getting vaccinated!   ,working the covid vaccine clinic all day today  lots of happy people getting vaccinated    ,working the covid vaccine clinic all day today lots of happy people getting vaccinated,"['working', 'the', 'covid', 'vaccine', 'clinic', 'all', 'day', 'today', 'lots', 'of', 'happy', 'people', 'getting', 'vaccinated']","['working', 'covid', 'vaccine', 'clinic', 'day', 'today', 'lots', 'happy', 'people', 'getting', 'vaccinated']","['work', 'covid', 'vaccin', 'clinic', 'day', 'today', 'lot', 'happi', 'peopl', 'get', 'vaccin']"
"Dubai Marina, Dubai",2020-12-24 16:00:00,#Dubai has launched inoculation against #Covid19. A senior citizen was the first to receive the #Pfizer- BioNTech v… https://t.co/xDFomiEwCp,NEU,16,0,2020-12-24, has launched inoculation against  A senior citizen was the first to receive the  BioNTech v… , has launched inoculation against  a senior citizen was the first to receive the  biontech v… , has launched inoculation against  a senior citizen was the first to receive the  biontech v  ,has launched inoculation against a senior citizen was the first to receive the biontech v,"['has', 'launched', 'inoculation', 'against', 'a', 'senior', 'citizen', 'was', 'the', 'first', 'to', 'receive', 'the', 'biontech', 'v']","['launched', 'inoculation', 'senior', 'citizen', 'first', 'receive', 'biontech', 'v']","['launch', 'inocul', 'senior', 'citizen', 'first', 'receiv', 'biontech', 'v']"
"Spring, TX",2020-12-24 15:52:00,@RepFrankLucas @HouseGOP @HHSGov @pfizer #PfizerBioNTech #vaccine had NOTHING to do with #OperationWarpSpeed!,NEU,15,52,2020-12-24,      had NOTHING to do with ,      had nothing to do with ,      had nothing to do with ,had nothing to do with,"['had', 'nothing', 'to', 'do', 'with']",['nothing'],['noth']
"Spring, TX",2020-12-24 15:52:00,@RepKevinBrady @HouseGOP #PfizerBioNTech #vaccine had NOTHING to do with #OperationWarpSpeed!,NEU,15,52,2020-12-24,    had NOTHING to do with ,    had nothing to do with ,    had nothing to do with ,had nothing to do with,"['had', 'nothing', 'to', 'do', 'with']",['nothing'],['noth']
"Spring, TX",2020-12-24 15:51:00,@HouseGOP @RepBrianMast #PfizerBioNTech #vaccine had NOTHING to do with #OperationWarpSpeed!,NEU,15,51,2020-12-24,    had NOTHING to do with ,    had nothing to do with ,    had nothing to do with ,had nothing to do with,"['had', 'nothing', 'to', 'do', 'with']",['nothing'],['noth']
"Spring, TX",2020-12-24 15:50:00,@HouseGOP @RepBlaine #PfizerBioNTech #vaccine had NOTHING to do with #OperationWarpSpeed.,NEU,15,50,2020-12-24,    had NOTHING to do with ,    had nothing to do with ,    had nothing to do with ,had nothing to do with,"['had', 'nothing', 'to', 'do', 'with']",['nothing'],['noth']
"Spring, TX",2020-12-24 15:49:00,@WaysandMeansGOP @HouseGOP #PfizerBioNTech's vaccine had nothing to do with Warp Speed.,NEU,15,49,2020-12-24,   vaccine had nothing to do with Warp Speed.,   vaccine had nothing to do with warp speed.,   vaccine had nothing to do with warp speed ,vaccine had nothing to do with warp speed,"['vaccine', 'had', 'nothing', 'to', 'do', 'with', 'warp', 'speed']","['vaccine', 'nothing', 'warp', 'speed']","['vaccin', 'noth', 'warp', 'speed']"
Dubai,2020-12-24 15:47:00,The #vaccine will be made available free-of-charge to all individuals on a voluntarily basis in #Dubai.… https://t.co/u2olzFRpyE,NEU,15,47,2020-12-24,The  will be made available free-of-charge to all individuals on a voluntarily basis in  ,the  will be made available free-of-charge to all individuals on a voluntarily basis in  ,the  will be made available free of charge to all individuals on a voluntarily basis in  ,the will be made available free of charge to all individuals on a voluntarily basis in,"['the', 'will', 'be', 'made', 'available', 'free', 'of', 'charge', 'to', 'all', 'individuals', 'on', 'a', 'voluntarily', 'basis', 'in']","['made', 'available', 'free', 'charge', 'individuals', 'voluntarily', 'basis']","['made', 'avail', 'free', 'charg', 'individu', 'voluntarili', 'basi']"
Global,2020-12-24 15:43:00,"So pleased to get my #PfizerBioNTech #Covid_19 vaccine! 💉 
It is so important that as many people as possible get v… https://t.co/lJh581yixP",POS,15,43,2020-12-24,"So pleased to get my   vaccine! 💉 
It is so important that as many people as possible get v… ","so pleased to get my   vaccine! 💉 
it is so important that as many people as possible get v… ",so pleased to get my   vaccine     it is so important that as many people as possible get v  ,so pleased to get my vaccine it is so important that as many people as possible get v,"['so', 'pleased', 'to', 'get', 'my', 'vaccine', 'it', 'is', 'so', 'important', 'that', 'as', 'many', 'people', 'as', 'possible', 'get', 'v']","['pleased', 'get', 'vaccine', 'important', 'many', 'people', 'possible', 'get', 'v']","['pleas', 'get', 'vaccin', 'import', 'mani', 'peopl', 'possibl', 'get', 'v']"
新潟市,2020-12-24 15:41:00,"#PfizerBionTech
Decads of R&amp;D, #KatalinKarikó &amp;  #DrewWeissman",NEU,15,41,2020-12-24,"
Decads of R&amp;D,  &amp;  ","
decads of r&amp;d,  &amp;  ", decads of r amp d    amp   ,decads of r amp d amp,"['decads', 'of', 'r', 'amp', 'd', 'amp']","['decads', 'r', 'amp', 'amp']","['decad', 'r', 'amp', 'amp']"
Email:talksavailable@gmail.com,2020-12-24 15:35:00,@Conservatives 🇬🇧 led 🌎 to #PfizerBioNTech #CovidVaccine 🇬🇧 under #conservatives #borisjohnson #ukprimeminister… https://t.co/AmO0yihTwo,NEU,15,35,2020-12-24, 🇬🇧 led 🌎 to   🇬🇧 under    , 🇬🇧 led 🌎 to   🇬🇧 under    ,    led   to      under    ,led to under,"['led', 'to', 'under']",['led'],['led']
"Vermont, USA",2020-12-24 15:33:00,@obstatsinc Was offered #PfizerBioNTech first.,NEU,15,33,2020-12-24, Was offered  first., was offered  first., was offered  first ,was offered first,"['was', 'offered', 'first']","['offered', 'first']","['offer', 'first']"
"Atlanta, GA",2020-12-24 15:07:00,"I am scheduled for my #PfizerBioNTech vaccine!
Putting fears aside anytime you get a new #vaccine, I am more than c… https://t.co/N7R44amAfN",NEU,15,7,2020-12-24,"I am scheduled for my  vaccine!
Putting fears aside anytime you get a new  I am more than c… ","i am scheduled for my  vaccine!
putting fears aside anytime you get a new  i am more than c… ",i am scheduled for my  vaccine  putting fears aside anytime you get a new  i am more than c  ,i am scheduled for my vaccine putting fears aside anytime you get a new i am more than c,"['i', 'am', 'scheduled', 'for', 'my', 'vaccine', 'putting', 'fears', 'aside', 'anytime', 'you', 'get', 'a', 'new', 'i', 'am', 'more', 'than', 'c']","['scheduled', 'vaccine', 'putting', 'fears', 'aside', 'anytime', 'get', 'new', 'c']","['schedul', 'vaccin', 'put', 'fear', 'asid', 'anytim', 'get', 'new', 'c']"
"✔ Verified     Santiago, Chile",2020-12-24 14:46:00,Chile’s first medical personnel workers are being inoculated with #COVID19 #PfizerBioNTech vaccine. #soterodelrio p… https://t.co/jVWpe9q6aY,NEU,14,46,2020-12-24,Chile’s first medical personnel workers are being inoculated with   vaccine.  p… ,chile’s first medical personnel workers are being inoculated with   vaccine.  p… ,chile s first medical personnel workers are being inoculated with   vaccine   p  ,chile s first medical personnel workers are being inoculated with vaccine p,"['chile', 's', 'first', 'medical', 'personnel', 'workers', 'are', 'being', 'inoculated', 'with', 'vaccine', 'p']","['chile', 'first', 'medical', 'personnel', 'workers', 'inoculated', 'vaccine', 'p']","['chile', 'first', 'medic', 'personnel', 'worker', 'inocul', 'vaccin', 'p']"
"Arnhem, Gelderland",2020-12-24 14:38:00,"5 Questions Fauci and FDA Need to Answer on Pfizer and Moderna COVID Vaccines • Children's Health Defense

Severe a… https://t.co/0wlXPo6dfX",NEU,14,38,2020-12-24,"5 Questions Fauci and FDA Need to Answer on Pfizer and Moderna COVID Vaccines • Children's Health Defense

Severe a… ","5 questions fauci and fda need to answer on pfizer and moderna covid vaccines • children's health defense

severe a… ",  questions fauci and fda need to answer on pfizer and moderna covid vaccines   children s health defense  severe a  ,questions fauci and fda need to answer on pfizer and moderna covid vaccines children s health defense severe a,"['questions', 'fauci', 'and', 'fda', 'need', 'to', 'answer', 'on', 'pfizer', 'and', 'moderna', 'covid', 'vaccines', 'children', 's', 'health', 'defense', 'severe', 'a']","['questions', 'fauci', 'fda', 'need', 'answer', 'pfizer', 'moderna', 'covid', 'vaccines', 'children', 'health', 'defense', 'severe']","['question', 'fauci', 'fda', 'need', 'answer', 'pfizer', 'moderna', 'covid', 'vaccin', 'children', 'health', 'defens', 'sever']"
Dubai,2020-12-24 14:28:00,WATCH: 'Grateful' and 'proud' say the first in UAE to receive the #PfizerBioNTech jabs. https://t.co/RqIgTZzesx 🇦🇪💉… https://t.co/KtUfTrOiF3,POS,14,28,2020-12-24,WATCH: 'Grateful' and 'proud' say the first in UAE to receive the  jabs.  🇦🇪💉… ,watch: 'grateful' and 'proud' say the first in uae to receive the  jabs.  🇦🇪💉… ,watch   grateful  and  proud  say the first in uae to receive the  jabs        ,watch grateful and proud say the first in uae to receive the jabs,"['watch', 'grateful', 'and', 'proud', 'say', 'the', 'first', 'in', 'uae', 'to', 'receive', 'the', 'jabs']","['watch', 'grateful', 'proud', 'say', 'first', 'uae', 'receive', 'jabs']","['watch', 'grate', 'proud', 'say', 'first', 'uae', 'receiv', 'jab']"
"✔ Verified     Santiago, Chile",2020-12-24 14:13:00,Chile today begins its #COVID19 vaccination with arrival of  #PfizerBioNTech vaccine today. 10K dosis are to be dis… https://t.co/NieySAFHIb,NEU,14,13,2020-12-24,Chile today begins its  vaccination with arrival of   vaccine today. 10K dosis are to be dis… ,chile today begins its  vaccination with arrival of   vaccine today. 10k dosis are to be dis… ,chile today begins its  vaccination with arrival of   vaccine today    k dosis are to be dis  ,chile today begins its vaccination with arrival of vaccine today k dosis are to be dis,"['chile', 'today', 'begins', 'its', 'vaccination', 'with', 'arrival', 'of', 'vaccine', 'today', 'k', 'dosis', 'are', 'to', 'be', 'dis']","['chile', 'today', 'begins', 'vaccination', 'arrival', 'vaccine', 'today', 'k', 'dosis', 'dis']","['chile', 'today', 'begin', 'vaccin', 'arriv', 'vaccin', 'today', 'k', 'dosi', 'di']"
Medical college of Wisconsin ,2020-12-24 14:04:00,#IGotTheShot it’s day 2 after receiving my #CovidVaccine  @Froedtert no side effect so far other than a sore arm at… https://t.co/OVyHcbCCXs,NEU,14,4,2020-12-24, it’s day 2 after receiving my    no side effect so far other than a sore arm at… , it’s day 2 after receiving my    no side effect so far other than a sore arm at… , it s day   after receiving my    no side effect so far other than a sore arm at  ,it s day after receiving my no side effect so far other than a sore arm at,"['it', 's', 'day', 'after', 'receiving', 'my', 'no', 'side', 'effect', 'so', 'far', 'other', 'than', 'a', 'sore', 'arm', 'at']","['day', 'receiving', 'side', 'effect', 'far', 'sore', 'arm']","['day', 'receiv', 'side', 'effect', 'far', 'sore', 'arm']"
"Philadelphia, Pa.",2020-12-24 13:59:00,The day after being vaccinated https://t.co/UvvXki6IEL via @YouTube #COVID19 #COVIDSecondWave #Vaccin #vaccine… https://t.co/qRMA6D5KxN,NEU,13,59,2020-12-24,The day after being vaccinated  via      ,the day after being vaccinated  via      ,the day after being vaccinated  via      ,the day after being vaccinated via,"['the', 'day', 'after', 'being', 'vaccinated', 'via']","['day', 'vaccinated', 'via']","['day', 'vaccin', 'via']"
No Location,2020-12-24 13:45:00,Virus. Vaccine. Volatility. 2021 is going to be a year of the “V”s ... #COVID19 #COVIDSecondWave #vaccine… https://t.co/FP42TET1q8,NEG,13,45,2020-12-24,Virus. Vaccine. Volatility. 2021 is going to be a year of the “V”s ...    ,virus. vaccine. volatility. 2021 is going to be a year of the “v”s ...    ,virus  vaccine  volatility       is going to be a year of the  v s        ,virus vaccine volatility is going to be a year of the v s,"['virus', 'vaccine', 'volatility', 'is', 'going', 'to', 'be', 'a', 'year', 'of', 'the', 'v', 's']","['virus', 'vaccine', 'volatility', 'going', 'year', 'v']","['viru', 'vaccin', 'volatil', 'go', 'year', 'v']"
"Belgrade, Republic of Serbia",2020-12-24 13:19:00,"Also, if mistyping Pfizer is the only side effect, that's good news. #PfizerBioNTech
#PhizerBioNTech 
#FeizerBiontec https://t.co/7b0XvWiZlO",POS,13,19,2020-12-24,"Also, if mistyping Pfizer is the only side effect, that's good news. 
 
 ","also, if mistyping pfizer is the only side effect, that's good news. 
 
 ",also  if mistyping pfizer is the only side effect  that s good news      ,also if mistyping pfizer is the only side effect that s good news,"['also', 'if', 'mistyping', 'pfizer', 'is', 'the', 'only', 'side', 'effect', 'that', 's', 'good', 'news']","['also', 'mistyping', 'pfizer', 'side', 'effect', 'good', 'news']","['also', 'mistyp', 'pfizer', 'side', 'effect', 'good', 'news']"
No Location,2020-12-24 13:17:00,#Health #DrFauci #COVID19 #coronavirus #vaccine #corona #vaccination #vaccines #VaccinesWork #CDC #FDA… https://t.co/ByV517QZp3,NEU,13,17,2020-12-24,           ,           ,           ,,[],[],[]
No Location,2020-12-24 13:11:00,"Merry Christmas! #getvaccinatedcovid19 #vaccine #pfizerbiontech , here’s hoping this will be a #gamechanger to… https://t.co/yBfq2LpgaI",POS,13,11,2020-12-24,"Merry Christmas!    , here’s hoping this will be a  to… ","merry christmas!    , here’s hoping this will be a  to… ",merry christmas       here s hoping this will be a  to  ,merry christmas here s hoping this will be a to,"['merry', 'christmas', 'here', 's', 'hoping', 'this', 'will', 'be', 'a', 'to']","['merry', 'christmas', 'hoping']","['merri', 'christma', 'hope']"
No Location,2020-12-24 13:10:00,"Pfizer’s principal research scientist, #Guyana born Vidia Surendra Roopchand is humbled by the experience of helpin… https://t.co/xfF6VKbBDt",NEU,13,10,2020-12-24,"Pfizer’s principal research scientist,  born Vidia Surendra Roopchand is humbled by the experience of helpin… ","pfizer’s principal research scientist,  born vidia surendra roopchand is humbled by the experience of helpin… ",pfizer s principal research scientist   born vidia surendra roopchand is humbled by the experience of helpin  ,pfizer s principal research scientist born vidia surendra roopchand is humbled by the experience of helpin,"['pfizer', 's', 'principal', 'research', 'scientist', 'born', 'vidia', 'surendra', 'roopchand', 'is', 'humbled', 'by', 'the', 'experience', 'of', 'helpin']","['pfizer', 'principal', 'research', 'scientist', 'born', 'vidia', 'surendra', 'roopchand', 'humbled', 'experience', 'helpin']","['pfizer', 'princip', 'research', 'scientist', 'born', 'vidia', 'surendra', 'roopchand', 'humbl', 'experi', 'helpin']"
No Location,2020-12-24 12:53:00,@Hyro Unveils #ConversationalAI Solution to Help Hospitals Avoid Being Overwhelmed by Patients Seeking #COVID19 Vac… https://t.co/1PPaj62szk,NEU,12,53,2020-12-24, Unveils  Solution to Help Hospitals Avoid Being Overwhelmed by Patients Seeking  Vac… , unveils  solution to help hospitals avoid being overwhelmed by patients seeking  vac… , unveils  solution to help hospitals avoid being overwhelmed by patients seeking  vac  ,unveils solution to help hospitals avoid being overwhelmed by patients seeking vac,"['unveils', 'solution', 'to', 'help', 'hospitals', 'avoid', 'being', 'overwhelmed', 'by', 'patients', 'seeking', 'vac']","['unveils', 'solution', 'help', 'hospitals', 'avoid', 'overwhelmed', 'patients', 'seeking', 'vac']","['unveil', 'solut', 'help', 'hospit', 'avoid', 'overwhelm', 'patient', 'seek', 'vac']"
No Location,2020-12-24 12:33:00,"It’s safe! Just take it! As quickly as you all can! It’s the only way (we will let you) out!!!

#vaccine… https://t.co/qu0WL3LfN5",NEU,12,33,2020-12-24,"It’s safe! Just take it! As quickly as you all can! It’s the only way (we will let you) out!!!

 ","it’s safe! just take it! as quickly as you all can! it’s the only way (we will let you) out!!!

 ",it s safe  just take it  as quickly as you all can  it s the only way  we will let you  out      ,it s safe just take it as quickly as you all can it s the only way we will let you out,"['it', 's', 'safe', 'just', 'take', 'it', 'as', 'quickly', 'as', 'you', 'all', 'can', 'it', 's', 'the', 'only', 'way', 'we', 'will', 'let', 'you', 'out']","['safe', 'take', 'quickly', 'way', 'let']","['safe', 'take', 'quickli', 'way', 'let']"
No Location,2020-12-24 12:24:00,"In Kenya are so used to corruption and impunity that the common mwananchi (citizen), is already prepared for the ne… https://t.co/PN5qlySDxr",NEG,12,24,2020-12-24,"In Kenya are so used to corruption and impunity that the common mwananchi (citizen), is already prepared for the ne… ","in kenya are so used to corruption and impunity that the common mwananchi (citizen), is already prepared for the ne… ",in kenya are so used to corruption and impunity that the common mwananchi  citizen   is already prepared for the ne  ,in kenya are so used to corruption and impunity that the common mwananchi citizen is already prepared for the ne,"['in', 'kenya', 'are', 'so', 'used', 'to', 'corruption', 'and', 'impunity', 'that', 'the', 'common', 'mwananchi', 'citizen', 'is', 'already', 'prepared', 'for', 'the', 'ne']","['kenya', 'used', 'corruption', 'impunity', 'common', 'mwananchi', 'citizen', 'already', 'prepared', 'ne']","['kenya', 'use', 'corrupt', 'impun', 'common', 'mwananchi', 'citizen', 'alreadi', 'prepar', 'ne']"
"New Delhi, India",2020-12-24 12:24:00,"Isn’t bureaucracy stopping immediate #CovidVaccine deployment in #India?
The ‘preparations’ being done right now, s… https://t.co/IkPML0xzIW",NEU,12,24,2020-12-24,"Isn’t bureaucracy stopping immediate  deployment in 
The ‘preparations’ being done right now, s… ","isn’t bureaucracy stopping immediate  deployment in 
the ‘preparations’ being done right now, s… ",isn t bureaucracy stopping immediate  deployment in  the  preparations  being done right now  s  ,isn t bureaucracy stopping immediate deployment in the preparations being done right now s,"['isn', 't', 'bureaucracy', 'stopping', 'immediate', 'deployment', 'in', 'the', 'preparations', 'being', 'done', 'right', 'now', 's']","['bureaucracy', 'stopping', 'immediate', 'deployment', 'preparations', 'done', 'right']","['bureaucraci', 'stop', 'immedi', 'deploy', 'prepar', 'done', 'right']"
Aberconwy,2020-12-24 12:16:00,"A thread on Covid-19 vaccinations.

The foresight, up-front investment and negotiation of 🇬🇧 @DHSCgovuk ensured:

✅… https://t.co/jIPPDIrZY8",NEU,12,16,2020-12-24,"A thread on Covid-19 vaccinations.

The foresight, up-front investment and negotiation of 🇬🇧  ensured:

✅… ","a thread on covid-19 vaccinations.

the foresight, up-front investment and negotiation of 🇬🇧  ensured:

✅… ",a thread on covid    vaccinations   the foresight  up front investment and negotiation of     ensured      ,a thread on covid vaccinations the foresight up front investment and negotiation of ensured,"['a', 'thread', 'on', 'covid', 'vaccinations', 'the', 'foresight', 'up', 'front', 'investment', 'and', 'negotiation', 'of', 'ensured']","['thread', 'covid', 'vaccinations', 'foresight', 'front', 'investment', 'negotiation', 'ensured']","['thread', 'covid', 'vaccin', 'foresight', 'front', 'invest', 'negoti', 'ensur']"
"Немањина 11, Београд",2020-12-24 12:12:00,"Today is a big day, vaccination started! It is my duty to be the first to receive the #PfizerBioNTech vaccine again… https://t.co/6rxBdGtB62",NEU,12,12,2020-12-24,"Today is a big day, vaccination started! It is my duty to be the first to receive the  vaccine again… ","today is a big day, vaccination started! it is my duty to be the first to receive the  vaccine again… ",today is a big day  vaccination started  it is my duty to be the first to receive the  vaccine again  ,today is a big day vaccination started it is my duty to be the first to receive the vaccine again,"['today', 'is', 'a', 'big', 'day', 'vaccination', 'started', 'it', 'is', 'my', 'duty', 'to', 'be', 'the', 'first', 'to', 'receive', 'the', 'vaccine', 'again']","['today', 'big', 'day', 'vaccination', 'started', 'duty', 'first', 'receive', 'vaccine']","['today', 'big', 'day', 'vaccin', 'start', 'duti', 'first', 'receiv', 'vaccin']"
No Location,2020-12-24 11:57:00,"Safe, but only with the bodies of other persons.
#PfizerBioNTech #Pfizervaccine #Pfizer https://t.co/2CWOzrdt4w",POS,11,57,2020-12-24,"Safe, but only with the bodies of other persons.
   ","safe, but only with the bodies of other persons.
   ",safe  but only with the bodies of other persons     ,safe but only with the bodies of other persons,"['safe', 'but', 'only', 'with', 'the', 'bodies', 'of', 'other', 'persons']","['safe', 'bodies', 'persons']","['safe', 'bodi', 'person']"
No Location,2020-12-24 11:52:00,"Very very VERY fishy!!!!

#vaccine #PfizerBioNTech #Pfizervaccine #COVID19 #Covid #coronavirus https://t.co/7G3QiYkfZF",NEU,11,52,2020-12-24,"Very very VERY fishy!!!!

      ","very very very fishy!!!!

      ",very very very fishy            ,very very very fishy,"['very', 'very', 'very', 'fishy']",['fishy'],['fishi']
No Location,2020-12-24 11:25:00,"@France24_en https://t.co/pqD6mIpUWF 
😳'no exit' blackmail☝️#EUCO #COVID19 #coronavirus #24dicembre #Vaccin #vacuna… https://t.co/2xCTCP2EEw",NEU,11,25,2020-12-24,"  
😳'no exit' blackmail☝️      ","  
😳'no exit' blackmail☝️      ",     no exit  blackmail        ,no exit blackmail,"['no', 'exit', 'blackmail']","['exit', 'blackmail']","['exit', 'blackmail']"
"Dubai, UAE",2020-12-24 11:07:00,#Dubai: How to book appointment for #Pfizervaccine. Watch the full #Video: https://t.co/kQkdoojXl4 gulf_news Yousra… https://t.co/F3MLFqIwmK,NEU,11,7,2020-12-24, How to book appointment for  Watch the full   gulf_news Yousra… , how to book appointment for  watch the full   gulf_news yousra… , how to book appointment for  watch the full   gulf news yousra  ,how to book appointment for watch the full gulf news yousra,"['how', 'to', 'book', 'appointment', 'for', 'watch', 'the', 'full', 'gulf', 'news', 'yousra']","['book', 'appointment', 'watch', 'full', 'gulf', 'news', 'yousra']","['book', 'appoint', 'watch', 'full', 'gulf', 'news', 'yousra']"
United Arab Emirates,2020-12-24 11:04:00,#COVID19: How you can book an appointment for the #PfizerBioNTech #vaccine in #Dubai. Vaccine is available at six h… https://t.co/tsd7ZpSRoy,NEU,11,4,2020-12-24, How you can book an appointment for the   in  Vaccine is available at six h… , how you can book an appointment for the   in  vaccine is available at six h… , how you can book an appointment for the   in  vaccine is available at six h  ,how you can book an appointment for the in vaccine is available at six h,"['how', 'you', 'can', 'book', 'an', 'appointment', 'for', 'the', 'in', 'vaccine', 'is', 'available', 'at', 'six', 'h']","['book', 'appointment', 'vaccine', 'available', 'six', 'h']","['book', 'appoint', 'vaccin', 'avail', 'six', 'h']"
